,filename,cell_type,cell_type_dual,mesh_type,activation_time,cell_surface_area_um^2,mesh_density,equivalent_diameter_area_um^2_mean,equivalent_diameter_area_um^2_median,area_um^2_mean,area_um^2_median,perimeter_um_mean,perimeter_um_median
0,1min_Fri_FOV1_decon.tif,Untransduced,Untransduced,Basal,1min,35.275553774563456,64.69188569917821,0.006450864407299062,0.0051881474107249,0.08018332930663724,0.0272014008264055,1.0347183946904999,0.5874192272326391
216,1min_Fri_FOV1_decon.tif,Untransduced,Untransduced,Cytosolic,1min,48.37730277832187,60.57159381174996,0.006450864407299062,0.0051881474107249,0.08018332930663724,0.0272014008264055,1.0347183946904999,0.5874192272326391
425,1min_Fri_FOV2_decon.tif,Untransduced,Untransduced,Basal,1min,29.070954320098352,65.31582522073806,0.008548825843278766,0.0071103776583308,0.10623829786055612,0.0361988337696492,1.1122732023850184,0.6590712592793987
566,1min_Fri_FOV2_decon.tif,Untransduced,Untransduced,Cytosolic,1min,37.77732230887733,56.02659775254799,0.008548825843278766,0.0071103776583308,0.10623829786055612,0.0361988337696492,1.1122732023850184,0.6590712592793987
692,1min_Fri_FOV3_decon.tif,Untransduced,Untransduced,Basal,1min,20.70893045759415,83.68631940469376,0.03743906464396289,0.028699707803977452,0.3714681473161689,0.1096494600645368,1.8628459556403005,1.0420601200109316
724,1min_Fri_FOV3_decon.tif,Untransduced,Untransduced,Cytosolic,1min,30.784826787848885,64.09318444358875,0.03743906464396289,0.028699707803977452,0.3714681473161689,0.1096494600645368,1.8628459556403005,1.0420601200109316
738,1min_Fri_FOV4_decon.tif,Untransduced,Untransduced,Basal,1min,36.53462057330808,73.25272067714631,0.008170255499129345,0.0068258193026237,0.0676201164627833,0.0331329690809928,0.9756925202444646,0.6504053006256516
953,1min_Fri_FOV4_decon.tif,Untransduced,Untransduced,Cytosolic,1min,47.26418039403626,68.87720528099076,0.008170255499129345,0.0068258193026237,0.0676201164627833,0.0331329690809928,0.9756925202444646,0.6504053006256516
1136,1min_Thurs_FOV1_decon.tif,Untransduced,Untransduced,Basal,1min,11.573897128420674,66.94870183242276,0.003517034423162401,0.0030364101172004002,0.0813914334821088,0.02588080753224655,0.9684251422599252,0.6282050358417817
1210,1min_Thurs_FOV1_decon.tif,Untransduced,Untransduced,Cytosolic,1min,33.640293319184906,50.10604409771028,0.003517034423162401,0.0030364101172004002,0.0813914334821088,0.02588080753224655,0.9684251422599252,0.6282050358417817
1404,1min_Thurs_FOV2_decon.tif,Untransduced,Untransduced,Basal,1min,21.57480074390848,62.19945532356374,0.0037385414334306,0.003280975802032,0.07713524452594622,0.0302175914971095,1.0760752870463097,0.7130287848362064
1572,1min_Thurs_FOV2_decon.tif,Untransduced,Untransduced,Cytosolic,1min,32.537351229540405,53.061715867951946,0.0037385414334306,0.003280975802032,0.07713524452594622,0.0302175914971095,1.0760752870463097,0.7130287848362064
1727,1min_Thurs_FOV3_decon.tif,Untransduced,Untransduced,Basal,1min,42.36716602599197,67.20526630760024,0.0043810946420623645,0.0036414446436812,0.08050944450942181,0.0238243726492144,1.0577535350680127,0.5833226323145739
2081,1min_Thurs_FOV3_decon.tif,Untransduced,Untransduced,Cytosolic,1min,48.02862382745942,46.9422676096078,0.0043810946420623645,0.0036414446436812,0.08050944450942181,0.0238243726492144,1.0577535350680127,0.5833226323145739
2235,1min_Thurs_FOV4_decon_left.tif,Untransduced,Untransduced,Basal,1min,8.70004888999309,70.10853180584866,0.004977553566554815,0.0040073013096216,0.07977273435441375,0.0288515338528561,1.2728564424426343,0.6424593858730427
2294,1min_Thurs_FOV4_decon_left.tif,Untransduced,Untransduced,Cytosolic,1min,12.997178856259398,60.58455536122696,0.004977553566554815,0.0040073013096216,0.07977273435441375,0.0288515338528561,1.2728564424426343,0.6424593858730427
2342,1min_Thurs_FOV4_decon_right.tif,Untransduced,Untransduced,Basal,1min,18.720711170432825,63.03093987157035,0.004902362479754039,0.00405255519172305,0.11329472770673839,0.0295072505313302,1.2556113903896973,0.6363355745359297
2447,1min_Thurs_FOV4_decon_right.tif,Untransduced,Untransduced,Cytosolic,1min,27.01246714196277,46.69299111549852,0.004902362479754039,0.00405255519172305,0.11329472770673839,0.0295072505313302,1.2556113903896973,0.6363355745359297
2542,1min_Thurs_FOV5_decon.tif,Untransduced,Untransduced,Basal,1min,26.623376864036665,63.933203018265125,0.0031938657042241687,0.002660236965844,0.06164541413029459,0.0198652684842108,1.0123851137414628,0.5335828373702391
2690,1min_Thurs_FOV5_decon.tif,Untransduced,Untransduced,Cytosolic,1min,32.92990012648897,63.06608663143406,0.0031938657042241687,0.002660236965844,0.06164541413029459,0.0198652684842108,1.0123851137414628,0.5335828373702391
2923,1min_Thurs_FOV6_decon.tif,Untransduced,Untransduced,Basal,1min,10.527752919090188,66.72867887421266,0.003373150292165302,0.0026973816077685998,0.05550315417143373,0.020424853511935098,0.9700785975303537,0.5540712997671617
2986,1min_Thurs_FOV6_decon.tif,Untransduced,Untransduced,Cytosolic,1min,20.226200827093034,67.37723059897634,0.003373150292165302,0.0026973816077685998,0.05550315417143373,0.020424853511935098,0.9700785975303537,0.5540712997671617
3127,1min_UNT_FOV1_decon.tif,Untransduced,Untransduced,Basal,1min,22.067662481169467,71.08252840198189,0.009322901319295872,0.0072666397626132,0.11542870313342947,0.0375506993824013,1.4638142204702056,0.7002548111038062
3216,1min_UNT_FOV1_decon.tif,Untransduced,Untransduced,Cytosolic,1min,52.5201752479622,62.53312024225092,0.009322901319295872,0.0072666397626132,0.11542870313342947,0.0375506993824013,1.4638142204702056,0.7002548111038062
